DateTime,Entries,UniqueIPs
1547648102,19400,19870
1547649639,19416,19886
1547651559,19424,19894
1547651702,19614,20092
1547653455,19614,20092
1547653711,19635,20132
1547655383,19839,20346
1547658048,19855,20371
1547658901,20041,20560
1547659477,20042,20563
1547661370,20043,20564
1547662362,20056,20585
1547662502,20233,20769
1547663550,20233,20769
1547665457,20240,20776
1547666102,20413,20954
1547666439,20416,20955
1547667406,20413,20952
1547669540,20412,20951
1547669702,20560,21106
1547670764,20650,21205
1547671471,20654,21209
1547673302,20806,21365
1547675317,20811,21370
1547677236,20942,21503
1547678186,20444,21001
1547679634,20480,21038
1547680501,20629,21193
1547681567,20629,21191
1547683483,20671,21235
1547684102,15405,15828
1547685370,15394,15817
1547686594,15296,15721
1547687544,15298,15723
1547687702,15522,15954
1547689698,15520,15952
1547690172,15544,15976
1547691302,15766,16203
1547691612,15769,16206
1547692365,15789,16229
1547693533,15791,16231
1547694902,16001,16445
1547695469,16006,16450
1547697176,15645,16075
1547698502,15891,16327
1547699536,15898,16334
1547701463,15891,16327
1547702102,16116,16559
1547702673,16068,16511
1547703397,16080,16523
1547705702,16280,16726
1547706750,16152,16592
1547707474,16138,16578
1547709402,16453,16896
1547711294,16466,16908
1547712279,15974,16390
1547712902,16308,16735
1547713223,16326,16754
1547715162,16217,16632
1547716502,16456,16877
1547717051,16473,16894
1547718737,16347,16765
1547718969,16355,16773
1547720102,16776,17201
1547721173,16769,17194
1547721607,16808,17235
1547723566,16629,17016
1547723702,16930,17322
1547724991,16930,17322
1547725456,17115,17516
1547727158,17134,17535
1547727302,17361,17765
1547729061,17589,18002
1547730982,17834,18251
1547733134,17832,18248
1547733680,17790,18178
1547734502,18011,18402
1547736988,18010,18400
1547738102,18215,18606
1547738888,18219,18610
1547740817,18214,18605
1547741702,18445,18837
1547744656,18447,18839
1547745302,18636,19033
1547746837,18624,19019
1547748760,18634,19029
1547748902,18824,19225
1547750656,18830,19232
1547752838,19082,19493
1547754758,19086,19497
1547756102,19260,19674
1547756673,19270,19684
1547758565,19272,19686
1547759702,19449,19865
1547762421,19449,19866
1547763302,19637,20056
1547764329,19639,20058
1547765533,19638,20060
1547766276,19643,20065
1547766902,19816,20239
1547768191,19821,20244
1547770502,15245,15555
1547772032,15243,15553
1547773213,15207,15518
1547774191,15416,15731
1547776096,15430,15745
1547776572,15426,15741
1547777702,15696,16013
1547779958,15681,15997
1547781301,15896,16216
1547783769,15904,16225
1547784902,16091,16416
1547785938,16093,16419
1547787883,16098,16425
1547788502,16290,16621
1547791940,16290,16621
1547792102,16480,16816
1547793849,16503,16840
1547795793,16709,17048
1547799643,16862,17206
1547801559,16850,17194
1547803226,13712,13954
1547803811,13705,13947
1547805638,13663,13900
1547806502,13871,14110
1547807542,13873,14112
1547808009,13844,14080
1547809484,14138,14381
1547810102,14427,14676
1547811389,14450,14700
1547812119,14297,14543
1547813543,14320,14566
1547813702,14532,14780
1547815230,14816,15069
1547815453,14808,15060
1547817375,15030,15285
1547819559,15014,15269
1547820043,15045,15303
1547820902,15212,15475
1547821479,15233,15497
1547823368,15242,15506
1547823875,14987,15246
1547824501,15158,15422
1547825560,15114,15378
1547827479,15106,15370
1547828102,15299,15567
1547828650,15637,15910
1547829619,15654,15927
1547831542,15653,15926
1547831702,15851,16129
1547833475,15866,16144
1547835302,16063,16343
1547837311,16058,16338
1547838902,16208,16491
1547841133,16200,16483
1547842502,16349,16636
1547843089,16848,17140
1547844971,16850,17142
1547846102,17014,17308
1547847140,17028,17323
1547849058,17025,17321
1547849702,17204,17503
1547850032,17491,17801
1547850975,17492,17802
1547851448,17489,17800
1547853178,17490,17800
1547853302,17678,17992
1547856973,12152,12378
1547859365,12190,12420
1547860501,12384,12618
1547861073,12387,12621
1547862967,12397,12630
1547863217,12374,12608
1547864102,12553,12792
1547865161,12564,12803
1547867077,12567,12806
1547867702,12798,13039
1547868971,12811,13052
1547871152,12818,13057
1547871643,13657,13908
1547875003,13810,14064
1547878823,13988,14245
1547880759,13980,14236
1547882101,14139,14398
1547882699,14158,14417
1547884835,14174,14433
1547885701,14379,14644
1547889302,14566,14839
1547890912,14566,14839
1547892761,14567,14840
1547892902,14758,15034
1547894173,14791,15073
1547894675,14794,15076
1547896577,14990,15275
1547898495,14986,15271
1547900102,15176,15466
1547902338,15125,15414
1547903702,15318,15609
1547904251,15311,15603
1547906193,15316,15609
1547907301,15494,15795
1547908342,15490,15790
1547910279,15493,15793
1547910902,15644,15947
1547912199,15660,15963
1547913867,14442,14707
1547914646,14614,14881
1547916752,14611,14879
1547918101,14744,15017
1547918652,14759,15033
1547920836,14752,15026
1547921702,14901,15180
1547922736,14908,15187
1547925302,15101,15383
1547926572,15093,15374
1547928762,15169,15461
1547928902,15327,15624
1547930652,15329,15630
1547932595,15521,15826
1547934758,15514,15819
1547936102,15690,16003
1547936650,15702,16015
1547937135,15701,16010
1547938850,15705,16014
1547939702,15868,16182
1547940737,15873,16188
1547942211,15225,15527
1547942685,15236,15538
1547943301,10254,10451
1547944806,10258,10453
1547946497,10253,10448
1547946901,10433,10631
1547948443,10434,10632
1547948651,10455,10653
1547950337,10450,10648
1547950502,10629,10829
1547952255,10632,10832
1547954172,10827,11033
1547956090,10834,11040
1547957702,11002,11213
1547958032,11002,11213
1547959938,11021,11232
1547961302,11196,11411
1547961852,11211,11426
1547963789,11225,11440
1547964901,11384,11602
1547965690,11387,11606
1547967625,11377,11597
1547968501,11561,11788
1547969293,11490,11718
1547970495,11492,11720
1547972423,11650,11884
1547974328,11660,11894
1547975702,11849,12086
1547976280,11863,12100
1547978168,11859,12096
1547979302,12023,12263
1547980093,12011,12253
1547980594,12357,12603
1547982101,12353,12599
1547982901,12491,12740
1547983948,12488,12737
1547985873,12488,12737
1547986502,12656,12908
1547987769,12669,12921
1547989689,12668,12920
1547990102,12915,13173
1547991650,13173,13436
1547993535,13176,13440
1547993702,13317,13584
1547994259,13514,13788
1547995721,13509,13785
1547997302,13665,13947
1547999562,13648,13928
1548000901,13819,14103
1548001491,13610,13898
1548003375,13586,13873
1548004502,13776,14070
1548005560,13767,14061
1548007475,13763,14057
1548008101,13905,14201
1548009367,13905,14201
1548011560,13925,14222
1548011702,14096,14405
1548013447,14091,14400
1548015650,14177,14482
1548017534,14168,14471
1548018902,14652,14960
1548019447,14638,14946
1548021370,14636,14944
1548022501,14787,15100
1548023049,14787,15097
1548023543,14785,15095
1548025453,14786,15097
1548026102,14939,15255
1548027390,14935,15251
1548029341,14935,15252
1548029702,10818,11036
1548030732,10818,11040
1548031232,10825,11047
