DateTime,AddedIPs,RemovedIPs
1547778123,27,5
1547779323,8,0
1547780523,1,0
1547781725,2,3
1547782923,6,0
1547784124,1,1
1547785323,8,22
1547786523,10,15
1547787724,10,23
1547788922,16,0
1547789523,4,3
1547790122,13,0
1547791323,7,2
1547792523,8,16
1547793724,15,7
1547794923,25,5
1547796122,4,3
1547797323,0,7
1547798523,6,8
1547799723,5,4
1547800923,15,14
1547801523,4,11
1547802122,7,0
1547802723,16,4
1547803322,6,1
1547803923,4,0
1547804523,1,5
1547805723,0,1
1547806323,0,2
1547806922,0,2
1547807523,1,13
1547809323,14,19
1547809923,18,12
1547810522,19,0
1547811723,6,10
1547812324,3,4
1547812923,2,2
1547814123,1,0
1547815323,7,2
1547815923,2,3
1547816524,3,4
1547817723,2,0
1547818922,1,19
1547820123,4,0
1547820723,6,2
1547821323,4,25
1547821923,8,8
1547822523,4,7
1547823723,17,5
1547824323,0,2
1547824923,6,8
1547825523,2,11
1547826123,3,35
1547827323,7,0
1547828524,2,12
1547829123,5,0
1547829724,0,3
1547830922,1,8
1547832123,1,3
1547833323,13,14
1547833922,1,3
1547834524,11,3
1547835723,1,5
1547836323,8,3
1547836923,5,0
1547838123,3,2
1547838722,0,1
1547839322,1,0
1547840522,3,1
1547841722,13,1
1547842923,27,6
1547843523,31,12
1547844123,20,7
1547845323,9,12
1547845923,5,0
1547846523,3,5
1547847122,5,0
1547847722,5,0
1547848923,0,8
1547850123,26,12
1547850722,1,3
1547851923,0,1
1547853723,3,9
1547854923,13,6
1547856124,11,0
1547857323,10,8
1547858522,13,15
1547859723,3,0
1547860923,1,3
1547862125,1,3
1547862724,2,15
1547863323,3,0
1547863923,30,6
1547864523,17,17
1547865123,8,0
1547865722,1,7
1547866922,0,12
1547868124,1,1
1547869323,2,4
1547870522,0,2
1547871124,1,4
1547871723,1,12
1547872323,8,0
1547872924,16,8
1547873523,6,0
1547874124,1,13
1547875323,5,12
1547876523,2,0
1547877122,2,1
1547877723,0,4
1547878923,5,1
1547880122,23,12
1547880722,3,0
1547881323,2,0
1547881923,2,3
1547882523,1,1
1547883123,0,3
1547883723,0,16
1547884923,8,0
1547885524,3,18
1547886123,12,0
1547887322,15,25
1547887923,8,0
1547888523,1,2
1547890923,5,13
1547892122,4,5
1547893322,5,11
1547894522,4,3
1547895724,9,2
1547896323,4,0
1547896923,4,6
1547898122,4,7
1547899323,4,0
1547899923,0,1
1547900522,1,4
1547901724,0,1
1547902323,2,1
1547902924,0,2
1547903523,1,0
1547904122,0,5
1547905322,18,0
1547905922,5,6
1547906523,0,1
1547907724,11,4
1547908323,4,0
1547908923,7,0
1547909523,5,2
1547910123,1,15
1547911322,3,0
1547911922,0,1
1547912523,14,1
1547913723,16,8
1547914323,2,2
1547914923,4,1
1547915523,8,0
1547916122,2,0
1547917324,7,3
1547918523,4,13
1547919722,5,0
1547920322,9,22
1547920923,0,25
1547921524,1,0
1547922123,2,6
1547922723,1,0
1547923323,1,0
1547924523,4,1
1547925722,0,1
1547926923,0,2
1547928123,8,9
1547929322,10,9
1547930523,7,5
1547931723,0,3
1547932922,1,18
1547933524,1,0
1547934123,1,0
1547935322,19,5
1547935923,9,3
1547936523,2,0
1547937123,1,4
1547937722,5,12
1547938324,0,7
1547938923,18,6
1547939523,14,0
1547940123,1,3
1547940724,3,0
1547941323,5,10
1547942524,11,0
1547943722,7,6
1547944922,6,4
1547946123,1,13
1547947322,0,3
1547948523,3,19
1547949723,13,13
1547950323,1,12
1547950922,0,13
1547951523,1,0
1547952123,0,3
1547953323,4,2
1547953922,1,0
1547954524,1,1
1547955123,0,7
1547955722,1,0
1547956923,1,6
1547958124,6,18
1547959323,15,5
1547959923,3,4
1547960522,6,0
1547961723,5,5
1547962923,2,0
1547964123,1,7
1547964724,6,11
1547965323,7,0
1547965922,2,5
1547966522,1,0
1547967723,2,3
1547968922,6,4
1547969523,6,8
1547970122,2,0
1547971322,8,5
1547971924,6,5
1547972523,1,1
1547973723,15,10
1547974923,6,4
1547976123,1,4
1547976723,1,1
1547978523,3,0
1547979723,14,14
1547980923,1,0
1547981524,1,4
1547982123,1,1
1547982723,1,1
1547984522,2,4
1547985723,1,2
1547986923,0,2
1547988123,1,7
1547988723,1,3
1547989323,0,3
1547990522,1,0
1547991123,17,3
1547991723,8,17
1547992323,7,0
1547992922,3,0
1547994123,16,14
1547994722,8,17
1547995323,0,6
1547996523,6,0
1547997123,7,20
1547998323,3,7
1547998923,13,2
1548000124,59,0
1548000723,3,16
1548001323,12,6
1548001922,0,4
1548003723,3,4
1548004923,9,17
1548006122,12,4
1548007323,15,5
1548007923,3,0
1548008524,1,1
1548009123,1,0
1548010323,1,5
1548010923,1,0
1548012123,2,0
1548012723,0,5
1548013323,0,6
1548014523,18,7
1548015123,24,12
1548015723,10,10
1548016922,9,7
1548017523,3,0
1548018123,8,6
1548019322,3,0
1548019923,5,1
1548020523,5,15
1548021123,13,0
1548021723,16,10
1548022923,5,17
1548024123,3,5
1548025924,9,21
1548026523,1,5
1548027122,12,7
1548027723,4,7
1548028322,4,5
1548028924,8,3
1548029523,22,10
1548030122,4,0
1548031322,1,0
1548032522,0,10
1548033724,4,0
1548034323,4,1
1548034922,0,9
1548036123,7,4
1548037322,16,6
1548038523,10,11
1548039723,1,7
1548042122,4,8
1548043324,2,0
1548044522,14,9
1548045123,9,18
1548045723,1,0
1548046923,12,29
1548048124,9,11
1548049323,10,13
1548050523,4,3
1548051722,6,0
1548052923,15,22
1548054124,2,7
1548055323,3,13
1548056522,0,23
1548057723,1,10
1548058323,5,9
1548058923,15,0
1548060122,7,13
1548061322,11,0
1548061923,1,0
1548062523,2,2
1548063122,0,3
1548064924,6,0
1548066123,1,18
1548067323,10,0
1548068523,15,23
1548069123,2,2
1548069723,9,6
1548070922,12,6
1548072123,9,1
1548073322,6,0
1548073922,1,2
1548074523,3,0
1548075123,5,0
1548075722,2,8
1548076922,3,5
1548078123,10,7
1548079323,6,25
1548079922,2,14
1548080523,2,0
1548081724,9,15
1548082923,14,15
1548084123,10,4
1548084723,1,11
1548085323,0,23
1548085922,12,0
1548086523,9,10
1548087122,20,0
1548087723,9,8
1548088923,2,2
1548090123,3,3
1548091322,3,9
1548092523,10,22
1548093722,11,6
1548094923,12,8
1548096123,2,22
1548097323,1,7
1548098522,2,0
1548099123,0,8
1548099722,0,8
1548100323,9,0
1548100923,0,17
1548101523,1,0
1548102123,17,14
1548103322,6,7
1548104522,4,7
1548105722,13,7
1548106323,6,5
1548106922,2,0
1548108123,4,14
1548108722,4,25
1548109324,21,0
1548110523,19,13
1548111723,4,6
1548112923,7,8
1548114123,9,12
1548115324,25,22
1548116522,6,0
1548117722,7,10
1548118922,6,3
1548120122,1,9
1548121323,2,9
1548121922,1,0
1548122524,2,6
1548123123,2,0
1548123723,0,13
1548124923,9,4
1548125523,16,0
1548126123,10,0
1548127322,6,7
1548127922,11,0
1548129722,7,0
1548130922,0,8
1548131523,1,22
1548132122,1,0
1548133323,17,16
1548134523,4,0
1548135723,1,16
1548136922,14,2
1548137522,7,18
1548138122,2,8
1548139323,5,2
1548139922,0,3
1548140523,3,1
1548141723,2,11
1548142923,2,12
1548143523,3,7
1548144725,0,14
1548146523,2,22
1548147723,15,0
1548148924,5,9
1548150122,3,0
1548151323,0,1
1548151923,1,1
1548152522,2,18
1548153122,1,0
1548153723,1,0
1548154924,3,12
1548156123,27,16
1548157322,12,0
1548158522,1,11
1548159723,4,0
1548160922,0,8
1548161522,2,0
1548162123,2,4
